run_id,model_type,seed,num_ants,mean_arrest_duration,pheromones.pheromone_max_timestep,pheromones.pheromone_radius_multiplier,pheromones.pheromone_threshold,experiment,pheromones.pheromone_decay_rate,pheromones.pheromone_deposition_rate
135,direct,456,128,10.0,3000.0,1.5,4.0,direct_clustering_sweep,,
61,direct,123,128,10.0,3000.0,1.5,2.5,direct_clustering_sweep,,
95,direct,456,64,5.5,3000.0,4.0,4.0,direct_clustering_sweep,,
132,direct,456,128,10.0,3000.0,1.5,1.0,direct_clustering_sweep,,
59,direct,123,128,5.5,3000.0,4.0,4.0,direct_clustering_sweep,,
92,direct,456,64,5.5,3000.0,4.0,1.0,direct_clustering_sweep,,
66,direct,123,128,10.0,3000.0,2.5,3.0,direct_clustering_sweep,,
104,direct,456,64,10.0,3000.0,4.0,1.0,direct_clustering_sweep,,
50,direct,123,128,5.5,3000.0,1.5,3.0,direct_clustering_sweep,,
68,direct,123,128,10.0,3000.0,4.0,1.0,direct_clustering_sweep,,
103,direct,456,64,10.0,3000.0,2.5,4.0,direct_clustering_sweep,,
57,direct,123,128,5.5,3000.0,4.0,2.5,direct_clustering_sweep,,
168,direct,789,64,10.0,3000.0,1.5,1.0,direct_clustering_sweep,,
157,direct,789,64,5.5,3000.0,1.5,2.5,direct_clustering_sweep,,
150,direct,789,64,3.0,3000.0,2.5,3.0,direct_clustering_sweep,,
159,direct,789,64,5.5,3000.0,1.5,4.0,direct_clustering_sweep,,
32,direct,123,64,10.0,3000.0,4.0,1.0,direct_clustering_sweep,,
166,direct,789,64,5.5,3000.0,4.0,3.0,direct_clustering_sweep,,
192,direct,789,128,5.5,3000.0,1.5,1.0,direct_clustering_sweep,,
35,direct,123,64,10.0,3000.0,4.0,4.0,direct_clustering_sweep,,
195,direct,789,128,5.5,3000.0,1.5,4.0,direct_clustering_sweep,,
161,direct,789,64,5.5,3000.0,2.5,2.5,direct_clustering_sweep,,
102,direct,456,64,10.0,3000.0,2.5,3.0,direct_clustering_sweep,,
69,direct,123,128,10.0,3000.0,4.0,2.5,direct_clustering_sweep,,
56,direct,123,128,5.5,3000.0,4.0,1.0,direct_clustering_sweep,,
105,direct,456,64,10.0,3000.0,4.0,2.5,direct_clustering_sweep,,
51,direct,123,128,5.5,3000.0,1.5,4.0,direct_clustering_sweep,,
58,direct,123,128,5.5,3000.0,4.0,3.0,direct_clustering_sweep,,
133,direct,456,128,10.0,3000.0,1.5,2.5,direct_clustering_sweep,,
67,direct,123,128,10.0,3000.0,2.5,4.0,direct_clustering_sweep,,
93,direct,456,64,5.5,3000.0,4.0,2.5,direct_clustering_sweep,,
134,direct,456,128,10.0,3000.0,1.5,3.0,direct_clustering_sweep,,
94,direct,456,64,5.5,3000.0,4.0,3.0,direct_clustering_sweep,,
60,direct,123,128,10.0,3000.0,1.5,1.0,direct_clustering_sweep,,
34,direct,123,64,10.0,3000.0,4.0,3.0,direct_clustering_sweep,,
160,direct,789,64,5.5,3000.0,2.5,1.0,direct_clustering_sweep,,
194,direct,789,128,5.5,3000.0,1.5,3.0,direct_clustering_sweep,,
33,direct,123,64,10.0,3000.0,4.0,2.5,direct_clustering_sweep,,
158,direct,789,64,5.5,3000.0,1.5,3.0,direct_clustering_sweep,,
193,direct,789,128,5.5,3000.0,1.5,2.5,direct_clustering_sweep,,
167,direct,789,64,5.5,3000.0,4.0,4.0,direct_clustering_sweep,,
151,direct,789,64,3.0,3000.0,2.5,4.0,direct_clustering_sweep,,
169,direct,789,64,10.0,3000.0,1.5,2.5,direct_clustering_sweep,,
156,direct,789,64,5.5,3000.0,1.5,1.0,direct_clustering_sweep,,
211,direct,789,128,10.0,3000.0,2.5,4.0,direct_clustering_sweep,,
210,direct,789,128,10.0,3000.0,2.5,3.0,direct_clustering_sweep,,
204,direct,789,128,10.0,3000.0,1.5,1.0,direct_clustering_sweep,,
203,direct,789,128,5.5,3000.0,4.0,4.0,direct_clustering_sweep,,
202,direct,789,128,5.5,3000.0,4.0,3.0,direct_clustering_sweep,,
205,direct,789,128,10.0,3000.0,1.5,2.5,direct_clustering_sweep,,
174,direct,789,64,10.0,3000.0,2.5,3.0,direct_clustering_sweep,,
180,direct,789,128,3.0,3000.0,1.5,1.0,direct_clustering_sweep,,
20,direct,123,64,5.5,3000.0,4.0,1.0,direct_clustering_sweep,,
187,direct,789,128,3.0,3000.0,2.5,4.0,direct_clustering_sweep,,
18,direct,123,64,5.5,3000.0,2.5,3.0,direct_clustering_sweep,,
173,direct,789,64,10.0,3000.0,2.5,2.5,direct_clustering_sweep,,
27,direct,123,64,10.0,3000.0,1.5,4.0,direct_clustering_sweep,,
9,direct,123,64,3.0,3000.0,4.0,2.5,direct_clustering_sweep,,
0,direct,123,64,3.0,3000.0,1.5,1.0,direct_clustering_sweep,,
145,direct,789,64,3.0,3000.0,1.5,2.5,direct_clustering_sweep,,
11,direct,123,64,3.0,3000.0,4.0,4.0,direct_clustering_sweep,,
142,direct,456,128,10.0,3000.0,4.0,3.0,direct_clustering_sweep,,
7,direct,123,64,3.0,3000.0,2.5,4.0,direct_clustering_sweep,,
29,direct,123,64,10.0,3000.0,2.5,2.5,direct_clustering_sweep,,
16,direct,123,64,5.5,3000.0,2.5,1.0,direct_clustering_sweep,,
189,direct,789,128,3.0,3000.0,4.0,2.5,direct_clustering_sweep,,
129,direct,456,128,5.5,3000.0,4.0,2.5,direct_clustering_sweep,,
42,direct,123,128,3.0,3000.0,2.5,3.0,direct_clustering_sweep,,
89,direct,456,64,5.5,3000.0,2.5,2.5,direct_clustering_sweep,,
116,direct,456,128,3.0,3000.0,4.0,1.0,direct_clustering_sweep,,
45,direct,123,128,3.0,3000.0,4.0,2.5,direct_clustering_sweep,,
111,direct,456,128,3.0,3000.0,1.5,4.0,direct_clustering_sweep,,
73,direct,456,64,3.0,3000.0,1.5,2.5,direct_clustering_sweep,,
118,direct,456,128,3.0,3000.0,4.0,3.0,direct_clustering_sweep,,
87,direct,456,64,5.5,3000.0,1.5,4.0,direct_clustering_sweep,,
127,direct,456,128,5.5,3000.0,2.5,4.0,direct_clustering_sweep,,
80,direct,456,64,3.0,3000.0,4.0,1.0,direct_clustering_sweep,,
74,direct,456,64,3.0,3000.0,1.5,3.0,direct_clustering_sweep,,
120,direct,456,128,5.5,3000.0,1.5,1.0,direct_clustering_sweep,,
6,direct,123,64,3.0,3000.0,2.5,3.0,direct_clustering_sweep,,
28,direct,123,64,10.0,3000.0,2.5,1.0,direct_clustering_sweep,,
143,direct,456,128,10.0,3000.0,4.0,4.0,direct_clustering_sweep,,
17,direct,123,64,5.5,3000.0,2.5,2.5,direct_clustering_sweep,,
188,direct,789,128,3.0,3000.0,4.0,1.0,direct_clustering_sweep,,
144,direct,789,64,3.0,3000.0,1.5,1.0,direct_clustering_sweep,,
1,direct,123,64,3.0,3000.0,1.5,2.5,direct_clustering_sweep,,
10,direct,123,64,3.0,3000.0,4.0,3.0,direct_clustering_sweep,,
172,direct,789,64,10.0,3000.0,2.5,1.0,direct_clustering_sweep,,
186,direct,789,128,3.0,3000.0,2.5,3.0,direct_clustering_sweep,,
19,direct,123,64,5.5,3000.0,2.5,4.0,direct_clustering_sweep,,
26,direct,123,64,10.0,3000.0,1.5,3.0,direct_clustering_sweep,,
8,direct,123,64,3.0,3000.0,4.0,1.0,direct_clustering_sweep,,
181,direct,789,128,3.0,3000.0,1.5,2.5,direct_clustering_sweep,,
175,direct,789,64,10.0,3000.0,2.5,4.0,direct_clustering_sweep,,
21,direct,123,64,5.5,3000.0,4.0,2.5,direct_clustering_sweep,,
75,direct,456,64,3.0,3000.0,1.5,4.0,direct_clustering_sweep,,
81,direct,456,64,3.0,3000.0,4.0,2.5,direct_clustering_sweep,,
121,direct,456,128,5.5,3000.0,1.5,2.5,direct_clustering_sweep,,
119,direct,456,128,3.0,3000.0,4.0,4.0,direct_clustering_sweep,,
86,direct,456,64,5.5,3000.0,1.5,3.0,direct_clustering_sweep,,
72,direct,456,64,3.0,3000.0,1.5,1.0,direct_clustering_sweep,,
126,direct,456,128,5.5,3000.0,2.5,3.0,direct_clustering_sweep,,
44,direct,123,128,3.0,3000.0,4.0,1.0,direct_clustering_sweep,,
110,direct,456,128,3.0,3000.0,1.5,3.0,direct_clustering_sweep,,
43,direct,123,128,3.0,3000.0,2.5,4.0,direct_clustering_sweep,,
