run_id,model_type,seed,num_ants,mean_arrest_duration,pheromones.pheromone_max_timestep,pheromones.pheromone_radius_multiplier,pheromones.pheromone_threshold,experiment,pheromones.pheromone_decay_rate,pheromones.pheromone_deposition_rate,final_clustering,steady_state_clustering
135,direct,456,128,10.0,3000.0,1.5,4.0,direct_clustering_sweep,,,0.015625,0.0003436812637472505
135,direct,456,128,10.0,3000.0,1.5,4.0,direct_clustering_sweep,,,0.015625,0.0003436812637472505
61,direct,123,128,10.0,3000.0,1.5,2.5,direct_clustering_sweep,,,0.0,0.0
61,direct,123,128,10.0,3000.0,1.5,2.5,direct_clustering_sweep,,,0.0,0.0
95,direct,456,64,5.5,3000.0,4.0,4.0,direct_clustering_sweep,,,0.0,2.499500099980004e-05
95,direct,456,64,5.5,3000.0,4.0,4.0,direct_clustering_sweep,,,0.0,2.499500099980004e-05
132,direct,456,128,10.0,3000.0,1.5,1.0,direct_clustering_sweep,,,0.0,0.0
132,direct,456,128,10.0,3000.0,1.5,1.0,direct_clustering_sweep,,,0.0,0.0
59,direct,123,128,5.5,3000.0,4.0,4.0,direct_clustering_sweep,,,0.0,0.0
59,direct,123,128,5.5,3000.0,4.0,4.0,direct_clustering_sweep,,,0.0,0.0
92,direct,456,64,5.5,3000.0,4.0,1.0,direct_clustering_sweep,,,0.546875,0.5256573685262947
92,direct,456,64,5.5,3000.0,4.0,1.0,direct_clustering_sweep,,,0.546875,0.5256573685262947
66,direct,123,128,10.0,3000.0,2.5,3.0,direct_clustering_sweep,,,0.0,0.0
66,direct,123,128,10.0,3000.0,2.5,3.0,direct_clustering_sweep,,,0.0,0.0
104,direct,456,64,10.0,3000.0,4.0,1.0,direct_clustering_sweep,,,0.875,0.8140403169366127
104,direct,456,64,10.0,3000.0,4.0,1.0,direct_clustering_sweep,,,0.875,0.8140403169366127
50,direct,123,128,5.5,3000.0,1.5,3.0,direct_clustering_sweep,,,0.859375,0.837873050389922
50,direct,123,128,5.5,3000.0,1.5,3.0,direct_clustering_sweep,,,0.859375,0.837873050389922
68,direct,123,128,10.0,3000.0,4.0,1.0,direct_clustering_sweep,,,0.015625,0.0003249350129974005
68,direct,123,128,10.0,3000.0,4.0,1.0,direct_clustering_sweep,,,0.015625,0.0003249350129974005
103,direct,456,64,10.0,3000.0,2.5,4.0,direct_clustering_sweep,,,0.734375,0.6968200109978004
103,direct,456,64,10.0,3000.0,2.5,4.0,direct_clustering_sweep,,,0.734375,0.6968200109978004
57,direct,123,128,5.5,3000.0,4.0,2.5,direct_clustering_sweep,,,0.0,0.0
57,direct,123,128,5.5,3000.0,4.0,2.5,direct_clustering_sweep,,,0.0,0.0
168,direct,789,64,10.0,3000.0,1.5,1.0,direct_clustering_sweep,,,0.0,1.249750049990002e-05
168,direct,789,64,10.0,3000.0,1.5,1.0,direct_clustering_sweep,,,0.0,1.249750049990002e-05
157,direct,789,64,5.5,3000.0,1.5,2.5,direct_clustering_sweep,,,0.984375,0.945245325934813
157,direct,789,64,5.5,3000.0,1.5,2.5,direct_clustering_sweep,,,0.984375,0.945245325934813
150,direct,789,64,3.0,3000.0,2.5,3.0,direct_clustering_sweep,,,0.0,0.0
150,direct,789,64,3.0,3000.0,2.5,3.0,direct_clustering_sweep,,,0.0,0.0
159,direct,789,64,5.5,3000.0,1.5,4.0,direct_clustering_sweep,,,0.0,0.0
159,direct,789,64,5.5,3000.0,1.5,4.0,direct_clustering_sweep,,,0.0,0.0
32,direct,123,64,10.0,3000.0,4.0,1.0,direct_clustering_sweep,,,0.0,0.0
32,direct,123,64,10.0,3000.0,4.0,1.0,direct_clustering_sweep,,,0.0,0.0
166,direct,789,64,5.5,3000.0,4.0,3.0,direct_clustering_sweep,,,0.0,1.249750049990002e-05
166,direct,789,64,5.5,3000.0,4.0,3.0,direct_clustering_sweep,,,0.0,1.249750049990002e-05
192,direct,789,128,5.5,3000.0,1.5,1.0,direct_clustering_sweep,,,0.0,1.249750049990002e-05
192,direct,789,128,5.5,3000.0,1.5,1.0,direct_clustering_sweep,,,0.0,1.249750049990002e-05
35,direct,123,64,10.0,3000.0,4.0,4.0,direct_clustering_sweep,,,0.0,0.0
35,direct,123,64,10.0,3000.0,4.0,4.0,direct_clustering_sweep,,,0.0,0.0
195,direct,789,128,5.5,3000.0,1.5,4.0,direct_clustering_sweep,,,0.0,1.249750049990002e-05
195,direct,789,128,5.5,3000.0,1.5,4.0,direct_clustering_sweep,,,0.0,1.249750049990002e-05
161,direct,789,64,5.5,3000.0,2.5,2.5,direct_clustering_sweep,,,0.90625,0.9443330083983204
161,direct,789,64,5.5,3000.0,2.5,2.5,direct_clustering_sweep,,,0.90625,0.9443330083983204
102,direct,456,64,10.0,3000.0,2.5,3.0,direct_clustering_sweep,,,0.0,0.0
102,direct,456,64,10.0,3000.0,2.5,3.0,direct_clustering_sweep,,,0.0,0.0
69,direct,123,128,10.0,3000.0,4.0,2.5,direct_clustering_sweep,,,0.0,0.0
69,direct,123,128,10.0,3000.0,4.0,2.5,direct_clustering_sweep,,,0.0,0.0
56,direct,123,128,5.5,3000.0,4.0,1.0,direct_clustering_sweep,,,0.5,0.23170678364327135
56,direct,123,128,5.5,3000.0,4.0,1.0,direct_clustering_sweep,,,0.5,0.23170678364327135
105,direct,456,64,10.0,3000.0,4.0,2.5,direct_clustering_sweep,,,0.0,0.0
105,direct,456,64,10.0,3000.0,4.0,2.5,direct_clustering_sweep,,,0.0,0.0
51,direct,123,128,5.5,3000.0,1.5,4.0,direct_clustering_sweep,,,0.0,0.0
51,direct,123,128,5.5,3000.0,1.5,4.0,direct_clustering_sweep,,,0.0,0.0
58,direct,123,128,5.5,3000.0,4.0,3.0,direct_clustering_sweep,,,0.0,0.0
58,direct,123,128,5.5,3000.0,4.0,3.0,direct_clustering_sweep,,,0.0,0.0
133,direct,456,128,10.0,3000.0,1.5,2.5,direct_clustering_sweep,,,0.90625,0.8467181563687263
133,direct,456,128,10.0,3000.0,1.5,2.5,direct_clustering_sweep,,,0.90625,0.8467181563687263
67,direct,123,128,10.0,3000.0,2.5,4.0,direct_clustering_sweep,,,0.0,1.249750049990002e-05
67,direct,123,128,10.0,3000.0,2.5,4.0,direct_clustering_sweep,,,0.0,1.249750049990002e-05
93,direct,456,64,5.5,3000.0,4.0,2.5,direct_clustering_sweep,,,0.0,0.0
93,direct,456,64,5.5,3000.0,4.0,2.5,direct_clustering_sweep,,,0.0,0.0
134,direct,456,128,10.0,3000.0,1.5,3.0,direct_clustering_sweep,,,0.9375,0.9069123675264947
134,direct,456,128,10.0,3000.0,1.5,3.0,direct_clustering_sweep,,,0.9375,0.9069123675264947
94,direct,456,64,5.5,3000.0,4.0,3.0,direct_clustering_sweep,,,0.0,0.0
94,direct,456,64,5.5,3000.0,4.0,3.0,direct_clustering_sweep,,,0.0,0.0
60,direct,123,128,10.0,3000.0,1.5,1.0,direct_clustering_sweep,,,0.0,0.0
